Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1070000,1.3076828,15.0,20.483870967741936,2.1013854,3.010725906114762,3.010725906114762,1.0
1080000,1.3076415,15.0,18.155172413793103,2.1385565,2.909852230903512,2.909852230903512,1.0
1090000,1.3076191,16.0,15.873737373737374,2.2481852,3.3292462025183247,3.3292462025183247,1.0
1100000,1.3072286,16.0,16.61904761904762,2.122954,3.15398409641463,3.15398409641463,1.0
1110000,1.3069496,17.0,17.005464480874316,2.138943,3.1896317720830116,3.1896317720830116,1.0
1120000,1.3074714,17.0,15.475247524752476,1.9924678,2.8281510712162934,2.8281510712162934,1.0
1130000,1.3080742,17.0,17.572222222222223,2.174115,2.7642856993900824,2.7642856993900824,1.0
1140000,1.3074656,17.0,19.176829268292682,2.1160052,2.5145604799111045,2.5145604799111045,1.0
1150000,1.3066313,17.0,18.372093023255815,2.4612527,3.478499975430873,3.478499975430873,1.0
1160000,1.3055489,17.0,17.5,2.1841838,3.0170495328689935,3.0170495328689935,1.0
1170000,1.3036983,17.0,18.04093567251462,2.2838855,2.9486602659188854,2.9486602659188854,1.0
1180000,1.3034562,17.0,17.65921787709497,2.322054,3.2514775851324424,3.2514775851324424,1.0
1190000,1.3028749,17.0,17.836158192090394,2.044194,2.677405635647054,2.677405635647054,1.0
1200000,1.3022925,17.0,15.72361809045226,2.1027644,2.975347217676138,2.975347217676138,1.0
1210000,1.3003366,17.0,17.869318181818183,2.1778233,2.7116622531470265,2.7116622531470265,1.0
1220000,1.3005192,19.0,13.81858407079646,2.2447724,3.430373698516998,3.430373698516998,1.0
1230000,1.3010594,19.0,17.252747252747252,1.9261682,2.3084725911056037,2.3084725911056037,1.0
1240000,1.3008267,19.0,16.972972972972972,1.8855939,2.194783744377059,2.194783744377059,1.0
1250000,1.2985535,19.0,18.412790697674417,1.6595736,1.9376841822591906,1.9376841822591906,1.0
1260000,1.2985313,19.0,15.6010101010101,2.1750925,3.0286495664395576,3.0286495664395576,1.0
1270000,1.2971165,19.0,16.203125,2.3380597,3.1527345690570057,3.1527345690570057,1.0
1280000,1.2971165,19.0,16.424870466321245,1.8891916,2.407771997887236,2.407771997887236,1.0
1290000,1.2927731,19.0,17.11049723756906,2.147559,2.884559606289098,2.884559606289098,1.0
